AIRPORT,Year,Month,INBOUND DOM,OUTBOUND DOM,INBOUND INTERNAT,OUTBOUND INTERNAT,Domestic Total,International Total
ADELAIDE,2009,1,259510,258122,25145,19968,517632,45113
ADELAIDE,2009,2,234778,232142,21389,14795,466920,36184
ADELAIDE,2009,3,280441,284820,19466,18154,565261,37620
ADELAIDE,2009,4,274359,281163,20087,21353,555522,41440
ADELAIDE,2009,5,258273,258930,17085,19321,517203,36406
ADELAIDE,2009,6,242263,242610,17680,19449,484873,37129
ADELAIDE,2009,7,269949,272217,24152,21200,542166,45352
ADELAIDE,2009,8,269480,269355,20859,19768,538835,40627
ADELAIDE,2009,9,264127,267734,22039,22699,531861,44738
ADELAIDE,2009,10,284313,277153,26544,20496,561466,47040
ADELAIDE,2009,11,264644,266874,21906,21543,531518,43449
ADELAIDE,2009,12,262735,264356,21402,24899,527091,46301
ADELAIDE,2010,1,260489,258574,26569,22236,519063,48805
ADELAIDE,2010,2,251775,248044,21576,16706,499819,38282
ADELAIDE,2010,3,292054,294892,22086,20609,586946,42695
ADELAIDE,2010,4,290702,296008,22393,23027,586710,45420
ADELAIDE,2010,5,269597,272381,18231,21100,541978,39331
ADELAIDE,2010,6,260162,264413,19742,21699,524575,41441
ADELAIDE,2010,7,293548,297128,25332,21846,590676,47178
ADELAIDE,2010,8,283786,283560,21613,21756,567346,43369
ADELAIDE,2010,9,282205,287767,23201,22552,569972,45753
ADELAIDE,2010,10,313687,301158,27111,19830,614845,46941
ADELAIDE,2010,11,283723,284665,22317,21729,568388,44046
ADELAIDE,2010,12,292916,295017,23166,25965,587933,49131
ADELAIDE,2011,1,275339,273902,26556,22938,549241,49494
ADELAIDE,2011,2,253474,247288,22587,17514,500762,40101
ADELAIDE,2011,3,293734,295355,21787,21351,589089,43138
ADELAIDE,2011,4,282981,286574,22983,25799,569555,48782
ADELAIDE,2011,5,273748,274350,21287,24027,548098,45314
ADELAIDE,2011,6,237077,237976,21671,22929,475053,44600
ADELAIDE,2011,7,273786,277032,28138,25253,550818,53391
ADELAIDE,2011,8,263100,263060,25653,24324,526160,49977
ADELAIDE,2011,9,262527,261455,25906,25166,523982,51072
ADELAIDE,2011,10,278028,273082,28930,23095,551110,52025
ADELAIDE,2011,11,264907,266632,24604,23324,531539,47928
ADELAIDE,2011,12,262361,260566,26035,31216,522927,57251
ADELAIDE,2012,1,258727,260757,34486,27251,519484,61737
ADELAIDE,2012,2,250287,241533,26957,20520,491820,47477
ADELAIDE,2012,3,277032,282302,25746,25886,559334,51632
ADELAIDE,2012,4,264048,267193,25399,26317,531241,51716
ADELAIDE,2012,5,261753,264360,20661,24575,526113,45236
ADELAIDE,2012,6,243743,249972,23206,26101,493715,49307
ADELAIDE,2012,7,275669,269885,31466,24802,545554,56268
ADELAIDE,2012,8,263168,265243,24624,24733,528411,49357
ADELAIDE,2012,9,269802,270676,27126,27912,540478,55038
ADELAIDE,2012,10,287626,281100,30722,22970,568726,53692
ADELAIDE,2012,11,285081,283544,28453,30172,568625,58625
ADELAIDE,2012,12,271564,271750,31996,37996,543314,69992
ADELAIDE,2013,1,262467,266159,39912,30336,528626,70248
ADELAIDE,2013,2,245055,237296,32894,25038,482351,57932
ADELAIDE,2013,3,282049,284894,30633,30591,566943,61224
ADELAIDE,2013,4,280700,287113,30059,33507,567813,63566
ADELAIDE,2013,5,259610,263814,25232,29676,523424,54908
ADELAIDE,2013,6,249959,247004,27642,30977,496963,58619
ADELAIDE,2013,7,285287,290626,38906,33858,575913,72764
ADELAIDE,2013,8,269836,269808,33245,31092,539644,64337
ADELAIDE,2013,9,272655,272652,34517,35056,545307,69573
ADELAIDE,2013,10,306551,300868,39954,28567,607419,68521
ADELAIDE,2013,11,279869,279000,34066,34016,558869,68082
ADELAIDE,2013,12,291204,289813,39818,49993,581017,89811
ADELAIDE,2014,1,277737,278835,53530,41795,556572,95325
ADELAIDE,2014,2,253235,250818,40484,29320,504053,69804
ADELAIDE,2014,3,287307,293996,35407,35805,581303,71212
ADELAIDE,2014,4,283121,285267,39176,42911,568388,82087
ADELAIDE,2014,5,266981,269417,34798,39547,536398,74345
ADELAIDE,2014,6,260567,255415,35861,44801,515982,80662
ADELAIDE,2014,7,284112,289631,51507,44103,573743,95610
ADELAIDE,2014,8,280822,280400,41013,39796,561222,80809
ADELAIDE,2014,9,276540,280913,39785,40956,557453,80741
ADELAIDE,2014,10,319150,311531,44279,35206,630681,79485
ADELAIDE,2014,11,279539,279238,33966,35010,558777,68976
ADELAIDE,2014,12,295383,291644,38989,49220,587027,88209
ADELAIDE,2015,1,271005,273323,50816,40325,544328,91141
ADELAIDE,2015,2,255345,248620,38274,30765,503965,69039
ADELAIDE,2015,3,291956,293217,34114,36696,585173,70810
ADELAIDE,2015,4,291914,294232,33223,37246,586146,70469
ADELAIDE,2015,5,270553,272195,31243,36424,542748,67667
ADELAIDE,2015,6,252967,252494,32695,37826,505461,70521
ADELAIDE,2015,7,296045,302047,40295,36893,598092,77188
ADELAIDE,2015,8,282798,277223,35798,34901,560021,70699
ADELAIDE,2015,9,279982,283113,35418,35682,563095,71100
ADELAIDE,2015,10,315821,304706,39982,32407,620527,72389
ADELAIDE,2015,11,296138,294450,30136,30705,590588,60841
ADELAIDE,2015,12,298324,301313,36126,43398,599637,79524
ADELAIDE,2016,1,282520,284142,44890,39537,566662,84427
ADELAIDE,2016,2,267124,259758,35415,29381,526882,64796
ADELAIDE,2016,3,305728,298866,32873,33552,604594,66425
ADELAIDE,2016,4,291320,302867,31541,36181,594187,67722
ADELAIDE,2016,5,281939,282036,31336,37676,563975,69012
ADELAIDE,2016,6,269707,262566,33289,39790,532273,73079
ADELAIDE,2016,7,300002,307952,47258,43425,607954,90683
ADELAIDE,2016,8,284393,279860,39027,40220,564253,79247
ADELAIDE,2016,9,293756,288573,42085,41067,582329,83152
ADELAIDE,2016,10,317098,319192,46341,35408,636290,81749
ADELAIDE,2016,11,304689,305932,34776,36227,610621,71003
ADELAIDE,2016,12,304574,301400,41707,51177,605974,92884
ADELAIDE,2017,1,292441,295396,51344,42933,587837,94277
ADELAIDE,2017,2,265665,258284,37838,30773,523949,68611
ADELAIDE,2017,3,309494,311591,34763,36346,621085,71109
ADELAIDE,2017,4,294726,296413,34119,39693,591139,73812
ADELAIDE,2017,5,285884,284998,33197,37924,570882,71121
ADELAIDE,2017,6,273329,272795,34097,39198,546124,73295
ADELAIDE,2017,7,308341,310767,46589,43123,619108,89712
ADELAIDE,2017,8,289066,285877,42160,40424,574943,82584
ADELAIDE,2017,9,296741,294811,44410,42623,591552,87033
ADELAIDE,2017,10,327412,326148,46426,36194,653560,82620
ADELAIDE,2017,11,316350,311569,37547,36871,627919,74418
ADELAIDE,2017,12,318458,322403,42206,52177,640861,94383
ADELAIDE,2018,1,300307,304558,58412,47172,604865,105584
ADELAIDE,2018,2,276851,270512,40981,32712,547363,73693
ADELAIDE,2018,3,320101,318876,37451,40042,638977,77493
ADELAIDE,2018,4,311318,316660,36246,41703,627978,77949
ADELAIDE,2018,5,294206,295304,34981,39547,589510,74528
ADELAIDE,2018,6,279737,278632,34610,43963,558369,78573
ADELAIDE,2018,7,318564,319765,48394,42872,638329,91266
ADELAIDE,2018,8,303083,299851,43581,43992,602934,87573
ADELAIDE,2018,9,300580,300750,45590,43804,601330,89394
ADELAIDE,2018,10,329727,327636,49784,38321,657363,88105
ADELAIDE,2018,11,317799,316175,40957,41321,633974,82278
ADELAIDE,2018,12,309982,309368,44574,54951,619350,99525
ADELAIDE,2019,1,293965,298986,58221,49255,592951,107476
ADELAIDE,2019,2,278620,272735,44990,35260,551355,80250
ADELAIDE,2019,3,314477,318070,38857,39981,632547,78838
ADELAIDE,2019,4,315393,315365,40996,46294,630758,87290
ADELAIDE,2019,5,294271,296479,38454,43024,590750,81478
ADELAIDE,2019,6,279068,275957,40583,47455,555025,88038
ADELAIDE,2019,7,321154,325056,55934,49299,646210,105233
ADELAIDE,2019,8,310165,307344,49885,49320,617509,99205
ADELAIDE,2019,9,308230,308039,53080,51858,616269,104938
ADELAIDE,2019,10,345636,343411,55867,43338,689047,99205
ADELAIDE,2019,11,320697,322044,43856,43075,642741,86931
ADELAIDE,2019,12,311283,311134,48765,60945,622417,109710
ADELAIDE,2020,1,294269,298774,63966,53541,593043,117507
ADELAIDE,2020,2,275909,266178,41150,30615,542087,71765
ADELAIDE,2020,3,192633,193960,23735,18459,386593,42194
ADELAIDE,2020,4,5462,6383,0,0,11845,0
ADELAIDE,2020,5,7273,8466,0,0,15739,0
ADELAIDE,2020,6,12264,12993,26,51,25257,77
ADELAIDE,2020,7,25774,27491,350,313,53265,663
ADELAIDE,2020,8,36135,38427,754,661,74562,1415
ADELAIDE,2020,9,49137,50346,1123,590,99483,1713
ADELAIDE,2020,10,90979,90918,1509,537,181897,2046
ADELAIDE,2020,11,70193,73760,959,481,143953,1440
ADELAIDE,2020,12,112726,108004,1429,710,220730,2139
ADELAIDE,2021,1,112901,120628,2115,526,233529,2641
ADELAIDE,2021,2,97732,97565,1919,459,195297,2378
ADELAIDE,2021,3,171916,171932,2124,413,343848,2537
ADELAIDE,2021,4,226873,231100,1798,439,457973,2237
ADELAIDE,2021,5,208206,212298,2823,1464,420504,4287
ADELAIDE,2021,6,148588,149609,3040,1642,298197,4682
ADELAIDE,2021,7,65265,66156,2816,2120,131421,4936
ADELAIDE,2021,8,39127,39952,1063,871,79079,1934
ADELAIDE,2021,9,78689,81802,1173,681,160491,1854
ADELAIDE,2021,10,93731,91605,1152,835,185336,1987
ADELAIDE,2021,11,116813,113929,1180,1299,230742,2479
ADELAIDE,2021,12,152001,142689,937,2799,294690,3736
ADELAIDE,2022,1,127555,129736,4211,3718,257291,7929
ADELAIDE,2022,2,138158,134762,7289,4956,272920,12245
ADELAIDE,2022,3,222888,220124,7098,8046,443012,15144
ADELAIDE,2022,4,281960,284961,10306,12112,566921,22418
ADELAIDE,2022,5,268778,265119,12693,12808,533897,25501
ADELAIDE,2022,6,263202,258308,13847,17516,521510,31363
ADELAIDE,2022,7,287105,291796,22259,22240,578901,44499
ADELAIDE,2022,8,269233,261865,21150,20231,531098,41381
ADELAIDE,2022,9,276769,271841,23363,22819,548610,46182
ADELAIDE,2022,10,304480,300696,25603,22827,605176,48430
ADELAIDE,2022,11,289145,290101,26291,25667,579246,51958
ADELAIDE,2022,12,286051,282226,28493,34434,568277,62927
ADELAIDE,2023,1,274435,279785,41237,34113,554220,75350
ADELAIDE,2023,2,255626,250364,30587,24931,505990,55518
ADELAIDE,2023,3,310519,306729,33742,30455,617248,64197
ADELAIDE,2023,4,299384,301115,36738,38284,600499,75022
ADELAIDE,2023,5,296058,291446,31211,33022,587504,64233
ADELAIDE,2023,6,272888,275630,31799,35432,548518,67231
ADELAIDE,2023,7,299971,306821,45312,40896,606792,86208
ADELAIDE,2023,8,299771,293865,36548,33483,593636,70031
ADELAIDE,2023,9,297536,300179,39684,37768,597715,77452
ADELAIDE,2023,10,331244,327522,44490,35907,658766,80397
ADELAIDE,2023,11,317671,320807,36152,34700,638478,70852
ADELAIDE,2023,12,306084,300922,41665,52958,607006,94623
ADELAIDE,2024,1,298535,303488,59785,42023,602023,101808
ADELAIDE,2024,2,293471,285493,37176,29696,578964,66872
ADELAIDE,2024,3,320056,311979,33433,35570,632035,69003
ADELAIDE,2024,4,320260,331591,40476,41307,651851,81783
BALLINA,2009,1,15908,17145,0,0,33053,0
BALLINA,2009,2,14005,14383,0,0,28388,0
BALLINA,2009,3,15057,15227,0,0,30284,0
BALLINA,2009,4,14106,14505,0,0,28611,0
BALLINA,2009,5,12974,13013,0,0,25987,0
BALLINA,2009,6,12333,11927,0,0,24260,0
BALLINA,2009,7,13878,14196,0,0,28074,0
BALLINA,2009,8,10524,10682,0,0,21206,0
BALLINA,2009,9,11389,10984,0,0,22373,0
BALLINA,2009,10,12826,12747,0,0,25573,0
BALLINA,2009,11,12736,12491,0,0,25227,0
BALLINA,2009,12,12602,12676,0,0,25278,0
BALLINA,2010,1,12345,13148,0,0,25493,0
BALLINA,2010,2,10903,10929,0,0,21832,0
BALLINA,2010,3,11282,11338,0,0,22620,0
BALLINA,2010,4,10375,10614,0,0,20989,0
BALLINA,2010,5,9295,9346,0,0,18641,0
BALLINA,2010,6,8547,8531,0,0,17078,0
BALLINA,2010,7,10340,10053,0,0,20393,0
BALLINA,2010,8,10601,10387,0,0,20988,0
BALLINA,2010,9,11961,11206,0,0,23167,0
BALLINA,2010,10,12623,13407,0,0,26030,0
BALLINA,2010,11,11610,11485,0,0,23095,0
BALLINA,2010,12,14405,14158,0,0,28563,0
BALLINA,2011,1,14507,16411,0,0,30918,0
BALLINA,2011,2,11708,11897,0,0,23605,0
BALLINA,2011,3,12864,13188,0,0,26052,0
BALLINA,2011,4,13126,13075,0,0,26201,0
BALLINA,2011,5,10696,11369,0,0,22065,0
BALLINA,2011,6,10144,10101,0,0,20245,0
BALLINA,2011,7,13150,13011,0,0,26161,0
BALLINA,2011,8,11550,12010,0,0,23560,0
BALLINA,2011,9,14019,13116,0,0,27135,0
BALLINA,2011,10,13536,14114,0,0,27650,0
BALLINA,2011,11,13089,13060,0,0,26149,0
BALLINA,2011,12,15756,15002,0,0,30758,0
BALLINA,2012,1,17159,18871,0,0,36030,0
BALLINA,2012,2,11864,12078,0,0,23942,0
BALLINA,2012,3,13097,13152,0,0,26249,0
BALLINA,2012,4,14958,15119,0,0,30077,0
BALLINA,2012,5,12359,12738,0,0,25097,0
BALLINA,2012,6,12002,11339,0,0,23341,0
BALLINA,2012,7,13998,14481,0,0,28479,0
BALLINA,2012,8,13031,13376,0,0,26407,0
BALLINA,2012,9,15200,14538,0,0,29738,0
BALLINA,2012,10,15682,16492,0,0,32174,0
BALLINA,2012,11,15070,15099,0,0,30169,0
BALLINA,2012,12,17720,16588,0,0,34308,0
BALLINA,2013,1,17319,19332,0,0,36651,0
BALLINA,2013,2,11303,11795,0,0,23098,0
BALLINA,2013,3,14423,13705,0,0,28128,0
BALLINA,2013,4,16197,17705,0,0,33902,0
BALLINA,2013,5,13735,13983,0,0,27718,0
BALLINA,2013,6,14258,14033,0,0,28291,0
BALLINA,2013,7,16020,16237,0,0,32257,0
BALLINA,2013,8,14164,14148,0,0,28312,0
BALLINA,2013,9,17534,16433,0,0,33967,0
BALLINA,2013,10,17876,19052,0,0,36928,0
BALLINA,2013,11,16444,16818,0,0,33262,0
BALLINA,2013,12,20927,18906,0,0,39833,0
BALLINA,2014,1,20119,22230,0,0,42349,0
BALLINA,2014,2,14861,15231,0,0,30092,0
BALLINA,2014,3,15663,16084,0,0,31747,0
BALLINA,2014,4,16926,17256,0,0,34182,0
BALLINA,2014,5,13210,13552,0,0,26762,0
BALLINA,2014,6,14762,14552,0,0,29314,0
BALLINA,2014,7,17839,18283,0,0,36122,0
BALLINA,2014,8,14707,15200,0,0,29907,0
BALLINA,2014,9,19834,19049,0,0,38883,0
BALLINA,2014,10,19283,19973,0,0,39256,0
BALLINA,2014,11,18158,18119,0,0,36277,0
BALLINA,2014,12,20079,19225,0,0,39304,0
BALLINA,2015,1,21764,23672,0,0,45436,0
BALLINA,2015,2,15486,15959,0,0,31445,0
BALLINA,2015,3,18102,17984,0,0,36086,0
BALLINA,2015,4,19599,20173,0,0,39772,0
BALLINA,2015,5,15937,16216,0,0,32153,0
BALLINA,2015,6,16250,16135,0,0,32385,0
BALLINA,2015,7,18513,19000,0,0,37513,0
BALLINA,2015,8,17107,17073,0,0,34180,0
BALLINA,2015,9,21295,20346,0,0,41641,0
BALLINA,2015,10,21492,22587,0,0,44079,0
BALLINA,2015,11,18420,18281,0,0,36701,0
BALLINA,2015,12,22277,21230,0,0,43507,0
BALLINA,2016,1,22620,24286,0,0,46906,0
BALLINA,2016,2,18248,18346,0,0,36594,0
BALLINA,2016,3,21013,20676,0,0,41689,0
BALLINA,2016,4,19736,20262,0,0,39998,0
BALLINA,2016,5,16647,17018,0,0,33665,0
BALLINA,2016,6,16601,15990,0,0,32591,0
BALLINA,2016,7,20878,21002,0,0,41880,0
BALLINA,2016,8,16839,17001,0,0,33840,0
BALLINA,2016,9,22038,20627,0,0,42665,0
BALLINA,2016,10,23453,23982,0,0,47435,0
BALLINA,2016,11,20317,20018,0,0,40335,0
BALLINA,2016,12,25920,24405,0,0,50325,0
BALLINA,2017,1,24867,27034,0,0,51901,0
BALLINA,2017,2,18510,18387,0,0,36897,0
BALLINA,2017,3,20445,20625,0,0,41070,0
BALLINA,2017,4,24319,24171,0,0,48490,0
BALLINA,2017,5,16786,17416,0,0,34202,0
BALLINA,2017,6,17159,16600,0,0,33759,0
BALLINA,2017,7,20665,20831,0,0,41496,0
BALLINA,2017,8,16863,16984,0,0,33847,0
BALLINA,2017,9,22647,21343,0,0,43990,0
BALLINA,2017,10,24283,25312,0,0,49595,0
BALLINA,2017,11,21524,21530,0,0,43054,0
BALLINA,2017,12,26533,24745,0,0,51278,0
BALLINA,2018,1,27192,29470,0,0,56662,0
BALLINA,2018,2,20782,20844,0,0,41626,0
BALLINA,2018,3,22795,21894,0,0,44689,0
BALLINA,2018,4,23004,24426,0,0,47430,0
BALLINA,2018,5,18588,18802,0,0,37390,0
BALLINA,2018,6,18215,17502,0,0,35717,0
BALLINA,2018,7,22997,23183,0,0,46180,0
BALLINA,2018,8,20039,20084,0,0,40123,0
BALLINA,2018,9,21971,20995,0,0,42966,0
BALLINA,2018,10,25099,25794,0,0,50893,0
BALLINA,2018,11,21694,21290,0,0,42984,0
BALLINA,2018,12,26557,24963,0,0,51520,0
BALLINA,2019,1,27119,29344,0,0,56463,0
BALLINA,2019,2,18999,19168,0,0,38167,0
BALLINA,2019,3,22612,22596,0,0,45208,0
BALLINA,2019,4,24051,23949,0,0,48000,0
BALLINA,2019,5,18031,18257,0,0,36288,0
BALLINA,2019,6,17894,17387,0,0,35281,0
BALLINA,2019,7,22932,23029,0,0,45961,0
BALLINA,2019,8,19791,19809,0,0,39600,0
BALLINA,2019,9,22424,21109,0,0,43533,0
BALLINA,2019,10,23850,24551,0,0,48401,0
BALLINA,2019,11,22416,22485,0,0,44901,0
BALLINA,2019,12,27028,24448,0,0,51476,0
BALLINA,2020,1,27390,30186,0,0,57576,0
BALLINA,2020,2,20690,20309,0,0,40999,0
BALLINA,2020,3,13835,14568,0,0,28403,0
BALLINA,2020,4,195,182,0,0,377,0
BALLINA,2020,5,1257,1272,0,0,2529,0
BALLINA,2020,6,4322,3587,0,0,7909,0
BALLINA,2020,7,15858,15370,0,0,31228,0
BALLINA,2020,8,13248,13906,0,0,27154,0
BALLINA,2020,9,18682,17462,0,0,36144,0
BALLINA,2020,10,25422,25769,0,0,51191,0
BALLINA,2020,11,29389,26973,0,0,56362,0
BALLINA,2020,12,35876,31529,0,0,67405,0
BALLINA,2021,1,28046,31562,0,0,59608,0
BALLINA,2021,2,25021,24357,0,0,49378,0
BALLINA,2021,3,28068,28406,0,0,56474,0
BALLINA,2021,4,29364,29741,0,0,59105,0
BALLINA,2021,5,25018,26076,0,0,51094,0
BALLINA,2021,6,22841,20763,0,0,43604,0
BALLINA,2021,7,3537,5022,0,0,8559,0
BALLINA,2021,8,1066,1119,0,0,2185,0
BALLINA,2021,9,1540,1321,0,0,2861,0
BALLINA,2021,10,3896,4070,0,0,7966,0
BALLINA,2021,11,40727,36702,0,0,77429,0
BALLINA,2021,12,55978,50443,0,0,106421,0
BALLINA,2022,1,33426,39287,0,0,72713,0
BALLINA,2022,2,20886,20946,0,0,41832,0
BALLINA,2022,3,21359,22365,0,0,43724,0
BALLINA,2022,4,30264,30175,0,0,60439,0
BALLINA,2022,5,26383,27292,0,0,53675,0
BALLINA,2022,6,25244,24336,0,0,49580,0
BALLINA,2022,7,25628,25714,0,0,51342,0
BALLINA,2022,8,22354,23191,0,0,45545,0
BALLINA,2022,9,25795,24241,0,0,50036,0
BALLINA,2022,10,27176,27849,0,0,55025,0
BALLINA,2022,11,29717,28972,0,0,58689,0
BALLINA,2022,12,28435,28278,0,0,56713,0
BALLINA,2023,1,29525,31981,0,0,61506,0
BALLINA,2023,2,24589,24374,0,0,48963,0
BALLINA,2023,3,29482,29328,0,0,58810,0
BALLINA,2023,4,26230,26146,0,0,52376,0
BALLINA,2023,5,23516,24455,0,0,47971,0
BALLINA,2023,6,23442,22194,0,0,45636,0
BALLINA,2023,7,26226,26480,0,0,52706,0
BALLINA,2023,8,25100,25478,0,0,50578,0
BALLINA,2023,9,28237,26806,0,0,55043,0
BALLINA,2023,10,27510,28163,0,0,55673,0
BALLINA,2023,11,26925,26298,0,0,53223,0
BALLINA,2023,12,28729,27966,0,0,56695,0
BALLINA,2024,1,26601,27920,0,0,54521,0
BALLINA,2024,2,24718,24905,0,0,49623,0
BALLINA,2024,3,26858,25954,0,0,52812,0
BALLINA,2024,4,25631,26794,0,0,52425,0
BRISBANE,2009,1,626445,632882,205011,172799,1259327,377810
BRISBANE,2009,2,520093,519172,156061,144635,1039265,300696
BRISBANE,2009,3,594507,593558,156115,158487,1188065,314602
BRISBANE,2009,4,608593,604520,161297,173044,1213113,334341
BRISBANE,2009,5,584999,579257,148025,155486,1164256,303511
BRISBANE,2009,6,569266,568461,151730,172408,1137727,324138
BRISBANE,2009,7,645966,634920,199264,172957,1280886,372221
BRISBANE,2009,8,612792,611221,169620,183377,1224013,352997
BRISBANE,2009,9,637070,631560,175337,183274,1268630,358611
BRISBANE,2009,10,663699,667650,191678,172089,1331349,363767
BRISBANE,2009,11,611573,619324,161768,173891,1230897,335659
BRISBANE,2009,12,633923,624473,175947,202871,1258396,378818
BRISBANE,2010,1,584635,595191,203308,173057,1179826,376365
BRISBANE,2010,2,545876,545378,160009,147233,1091254,307242
BRISBANE,2010,3,605994,603265,162490,168234,1209259,330724
BRISBANE,2010,4,621672,626921,161473,166938,1248593,328411
BRISBANE,2010,5,596680,592018,149297,158209,1188698,307506
BRISBANE,2010,6,609580,612834,163393,187027,1222414,350420
BRISBANE,2010,7,695302,675766,220390,188120,1371068,408510
BRISBANE,2010,8,661735,667083,179247,194188,1328818,373435
BRISBANE,2010,9,687199,679663,187251,193066,1366862,380317
BRISBANE,2010,10,705758,711488,197989,178468,1417246,376457
BRISBANE,2010,11,663810,669962,167586,178601,1333772,346187
BRISBANE,2010,12,696432,683949,183545,213138,1380381,396683
BRISBANE,2011,1,583192,600245,216100,179977,1183437,396077
BRISBANE,2011,2,550493,554263,160230,146869,1104756,307099
BRISBANE,2011,3,639595,638987,155406,155471,1278582,310877
BRISBANE,2011,4,659295,659943,170423,184505,1319238,354928
BRISBANE,2011,5,646930,644697,165542,168888,1291627,334430
BRISBANE,2011,6,625865,632359,166624,189150,1258224,355774
BRISBANE,2011,7,728844,703758,230003,191645,1432602,421648
BRISBANE,2011,8,695252,696200,186412,198789,1391452,385201
BRISBANE,2011,9,707665,694602,191295,200297,1402267,391592
BRISBANE,2011,10,711157,722627,216988,183402,1433784,400390
BRISBANE,2011,11,687385,697645,177310,187609,1385030,364919
BRISBANE,2011,12,713241,694743,196012,225920,1407984,421932
BRISBANE,2012,1,652897,672445,230713,186380,1325342,417093
